timestamp,x,y,theta,qw,qz
1769097853.2430568,0.0,0.0,0.0,1.0,0.0
1769097853.2930622,0.0,0.0,0.0,1.0,0.0
1769097853.3430595,0.0,0.0,0.0,1.0,0.0
1769097853.3930593,0.0,0.0,0.0,1.0,0.0
1769097853.4430604,0.0,0.0,0.0,1.0,0.0
1769097853.4930604,0.0,0.0,0.0,1.0,0.0
1769097853.5430603,0.0,0.0,0.0,1.0,0.0
1769097853.5930607,0.0,0.0,0.0,1.0,0.0
1769097853.6430602,0.0,0.0,0.0,1.0,0.0
1769097853.693073,0.0,0.0,0.0,1.0,0.0
1769097853.74306,0.0,0.0,0.0,1.0,0.0
1769097853.793061,0.0,0.0,0.0,1.0,0.0
1769097853.8434985,0.0,0.0,0.0,1.0,0.0
1769097853.8930628,0.0,0.0,0.0,1.0,0.0
1769097853.9430625,0.0,0.0,0.0,1.0,0.0
1769097853.9930654,0.0,0.0,0.0,1.0,0.0
1769097854.0430634,0.0,0.0,0.0,1.0,0.0
1769097854.0930614,0.0,0.0,0.0,1.0,0.0
1769097854.1445248,0.0,0.0,0.0,1.0,0.0
1769097854.1930807,0.0,0.0,0.0,1.0,0.0
1769097854.2430649,0.0,0.0,0.0,1.0,0.0
1769097854.2930758,0.0,0.0,0.0,1.0,0.0
1769097854.3430674,0.0,0.0,0.0,1.0,0.0
1769097854.3930683,0.0,0.0,0.0,1.0,0.0
1769097854.443519,0.0,0.0,0.0,1.0,0.0
1769097854.4930701,0.0,0.0,0.0,1.0,0.0
1769097854.543068,0.0,0.0,0.0,1.0,0.0
1769097854.593071,0.0,0.0,0.0,1.0,0.0
1769097854.6430688,0.0,0.0,0.0,1.0,0.0
1769097854.6930828,0.0,0.0,0.0,1.0,0.0
1769097854.743068,0.0,0.0,0.0,1.0,0.0
1769097854.7930737,0.0,0.0,0.0,1.0,0.0
1769097854.8430693,2.5310686077748866e-05,-4.003942788433079e-09,-0.0003163835812501181,0.9999999874876787,-0.00015819178996527689
1769097854.8930721,2.5310686077748866e-05,-4.003942788433079e-09,-0.0003163835812501181,0.9999999874876787,-0.00015819178996527689
1769097854.9430714,0.0,0.0,0.0,1.0,0.0
1769097854.9930735,0.0,0.0,0.0,1.0,0.0
1769097855.0430708,0.0,0.0,0.0,1.0,0.0
1769097855.0930736,0.0,0.0,0.0,1.0,0.0
1769097855.149567,0.0,0.0,0.0,1.0,0.0
1769097855.1930869,0.0,0.0,0.0,1.0,0.0
1769097855.2430737,0.0,0.0,0.0,1.0,0.0
1769097855.2930832,0.0,0.0,0.0,1.0,0.0
1769097855.343075,0.0,0.0,0.0,1.0,0.0
1769097855.3930774,0.0,0.0,0.0,1.0,0.0
1769097855.4486015,0.0,0.0,0.0,1.0,0.0
1769097855.4930794,0.0,0.0,0.0,1.0,0.0
1769097855.5430763,0.0,0.0,0.0,1.0,0.0
1769097855.5930781,0.0,0.0,0.0,1.0,0.0
1769097855.6430752,0.0,0.0,0.0,1.0,0.0
1769097855.6930904,0.0,0.0,0.0,1.0,0.0
1769097855.7446077,0.0,0.0,0.0,1.0,0.0
1769097855.7930806,0.0,0.0,0.0,1.0,0.0
1769097855.8526158,0.0,0.0,0.0,1.0,0.0
1769097855.89308,0.0,0.0,0.0,1.0,0.0
1769097855.9436018,0.0,0.0,0.0,1.0,0.0
1769097855.998658,0.0,0.0,0.0,1.0,0.0
1769097856.0430834,0.0,0.0,0.0,1.0,0.0
1769097856.09308,2.5310686077748866e-05,-4.003942788433079e-09,-0.0003163835812501181,0.9999999874876787,-0.00015819178996527689
1769097856.1431167,0.0,0.0,0.0,1.0,0.0
1769097856.1930811,0.0,0.0,0.0,1.0,0.0
1769097856.243093,2.5310686077748866e-05,-4.003942788433079e-09,-0.0003163835812501181,0.9999999874876787,-0.00015819178996527689
1769097856.2930813,5.06213696219196e-05,-1.6015770737398682e-08,-0.0006327671625000534,0.9999999499507152,-0.0003163835759717693
1769097856.3430884,0.00010124271897533293,-6.406307656581234e-08,-0.0012655343250001063,0.9999997998028657,-0.0006327671202739951
1769097856.4006193,0.0002531065542163064,-3.523467671795455e-07,-0.0025310686499999597,0.999999199211543,-0.0012655339871915354
1769097856.4431171,0.0007340078567369592,-1.64561873350344e-06,-0.0028474522312500325,0.999998986502145,-0.0014237256346438622
1769097856.493085,0.0011895987468044766,-2.798753014898736e-06,-0.002214685068750071,0.9999993868963184,-0.0011073423080697647
1769097856.5430896,0.0016958115562766775,-3.7596986983690073e-06,-0.0015819179062500405,0.9999996871919835,-0.0007909588706522515
1769097856.594636,0.0023538888673167624,-4.592518568546922e-06,-0.0009491507437499877,0.9999998873891103,-0.00047457535406087543
1769097856.6431065,0.002682927588709448,-4.956877289297168e-06,-0.0012655343250000829,0.9999997998028657,-0.0006327671202739834
1769097856.6996388,0.003011966310102124,-5.321236010047414e-06,-0.0009491507437500563,0.9999998873891103,-0.00047457535406090974
1769097856.743083,0.0036194225124772787,-5.897803689468189e-06,-0.0009491507437500109,0.9999998873891103,-0.00047457535406088703
1769097856.79364,0.004075014770668309,-6.186087548321062e-06,-0.00031638358125002684,0.9999999874876787,-0.00015819178996523127
1769097856.8430884,0.004682471114923016,-6.570466026922794e-06,-0.000949150743750103,0.9999998873891103,-0.0004745753540609331
1769097856.8936713,0.004960888494562972,-6.878769559737208e-06,-0.0012655343250000837,0.9999997998028657,-0.0006327671202739838
1769097856.9430912,0.0053152378218038875,-7.327211035805835e-06,-0.001265534324999992,0.9999997998028657,-0.000632767120273938
1769097856.9946492,0.005745519226702008,-7.803680131868163e-06,-0.0009491507437500116,0.9999998873891103,-0.0004745753540608874
1769097857.0430923,0.006175800832596133,-8.007881200366995e-06,6.830473686658678e-17,1.0,3.415236843329339e-17
1769097857.1016614,0.006682014528815298,-7.847723492937497e-06,0.0006327671624999152,0.9999999499507152,0.00031638357597170023
1769097857.1430962,0.007390713608935746,-7.399281927092234e-06,0.0006327671624999153,0.9999999499507152,0.0003163835759717003
1769097857.1930988,0.007795684511861718,-7.143029603752082e-06,0.0006327671624998925,0.9999999499507152,0.00031638357597168885
1769097857.2430956,0.008150034099215112,-7.030919208617092e-06,4.5319650809894085e-17,1.0,2.2659825404947043e-17
1769097857.2930963,0.00873217980130718,-6.754647174811446e-06,0.0009491507437499647,0.9999998873891103,0.00047457535406086394
1769097857.3430936,0.009213082547958013,-6.222122891141879e-06,0.0012655343249999916,0.9999997998028657,0.0006327671202739377
1769097857.3930936,0.00976991720505089,-5.517429143034072e-06,0.0012655343249999686,0.9999997998028657,0.0006327671202739262
1769097857.4430962,0.010832965541472485,-4.5084357209734804e-06,0.0006327671624999395,0.9999999499507152,0.0003163835759717124
1769097857.493092,0.011566975217306912,-3.927864074881882e-06,0.0009491507437499201,0.9999998873891103,0.00047457535406084166
1769097857.5430963,0.012452848697979508,-2.9468982885028083e-06,0.0012655343249999462,0.9999997998028657,0.0006327671202739151
1769097857.5930927,0.013667760677091231,-1.4093846562676605e-06,0.001265534325000037,0.9999997998028657,0.0006327671202739605
1769097857.6430953,0.014477701996499058,-3.8437556811080797e-07,0.001265534324999991,0.9999997998028657,0.0006327671202739374
1769097857.6931052,0.015363575122472852,8.768659887081753e-07,0.0015819179062499715,0.9999996871919835,0.000790958870652217
1769097857.7430983,0.01652786524467412,2.7186789174455973e-06,0.0015819179062500175,0.9999996871919835,0.00079095887065224
1769097857.7930942,0.01741373792727449,4.260196118544002e-06,0.0018983014875000438,0.9999995495564666,0.0009491506012370794
1769097857.8430963,0.018274299717734067,5.8938038077211284e-06,0.0018983014875000438,0.9999995495564666,0.0009491506012370794
1769097857.8930962,0.019489209669996118,8.584451137938487e-06,0.002531068649999868,0.999999199211543,0.0012655339871914897
1769097857.9430969,0.020400391465332478,1.0890719739456437e-05,0.0025310686499999593,0.999999199211543,0.0012655339871915352
1769097857.9930956,0.02121033143350717,1.2684484626213077e-05,0.0018983014874999523,0.9999995495564666,0.0009491506012370336
1769097858.0430973,0.022450551533887458,1.5627379726268487e-05,0.002847452231249986,0.999998986502145,0.001423725634643839
1769097858.0930936,0.023336421556248797,1.8289997680831505e-05,0.0031638358125000124,0.9999987487681299,0.0015819172464679179
1769097858.143114,0.02424760170983824,2.1172831701322284e-05,0.003163835812499875,0.9999987487681299,0.0015819172464678491
